r_type,t_type,pop_density_mean,flu_shot_mean,covid_shots_mean,bmi_diff_mean,appetite_loss_mean,fatigue_mean,fever_mean,causes_mean,non-causes_mean,pop_density_std,flu_shot_std,covid_shots_std,bmi_diff_std,appetite_loss_std,fatigue_std,fever_std,causes_std,non-causes_std,gamma
individualized,acceptance,-0.0008366834170854272,0.0,0.0033500837520938024,0.00016750418760469013,0.5526574539363485,0.0,0.0,0.0026809045226130652,0.5526574539363485,0.001046466576460567,0.0,0.0029012576341187223,0.0002901257634118723,0.017336060059679154,0.0,0.0,0.0030276819780398786,0.017336060059679154,0.75
individualized,acceptance,0.0011691537212288176,0.0,0.0,-0.00016496611653870027,0.5466247268491357,0.0,0.0,0.0010041876046901173,0.5466247268491357,0.0017674261577426311,0.0,0.0,0.0005824730064170264,0.01702638047330623,0.0,0.0,0.001329998807971139,0.01702638047330623,0.85
individualized,acceptance,-0.0003333333333333335,0.0,0.0,0.0,0.5551666666666667,0.0,0.0,-0.0003333333333333335,0.5551666666666667,0.002309401076758503,0.0,0.0,0.0,0.011150485789118498,0.0,0.0,0.002309401076758503,0.011150485789118498,0.9
individualized,acceptance,0.0,0.0,0.0,2.52525252525252e-06,0.5328358585858586,0.0,0.0,2.52525252525252e-06,0.5328358585858586,0.0,0.0,0.0,0.0007106780275561766,0.02215244123080885,0.0,0.0,0.0007106780275561766,0.02215244123080885,0.95
subpopulation,acceptance,0.0005565786781256396,0.0017825311942959,0.007317624298449778,0.0021952872895349335,0.5275761624477907,0.0,0.0,0.01185202146040625,0.5275761624477907,0.0014687023384378902,0.003087434594596929,0.0032337651153688213,0.0009701295346106465,0.016365481603537048,0.0,0.0,0.002217967011258056,0.016365481603537048,0.75
subpopulation,acceptance,0.0023810143607097926,0.0,0.001692047377326565,0.0010239055924335112,0.5321341489869409,0.0,0.0,0.0050969673304698685,0.5321341489869409,0.002062099435645079,0.0,0.0029307120263432776,0.0005154258538306718,0.01629591665751798,0.0,0.0,0.0038221198652302482,0.01629591665751798,0.85
subpopulation,acceptance,0.0003418105757212457,0.0,0.005025125628140704,0.00033670892533734664,0.5486527391611187,0.0,0.0,0.005703645129199295,0.5486527391611187,0.0019182086721176385,0.0,0.008703772902356166,0.00029160963977641936,0.022168198033815888,0.0,0.0,0.0077850971732051875,0.022168198033815888,0.9
subpopulation,acceptance,0.0025,0.0,0.005,0.0005,0.5425,0.0,0.0,0.008,0.5425,,,,,,,,,,0.95
individualized,counterfactual,-0.0018333333333333335,0.0,0.0,0.00016666666666666666,0.5551666666666667,0.0,0.0,-0.0016666666666666668,0.5551666666666667,0.0027537852736430513,0.0,0.0,0.0002886751345948129,0.017480942003603048,0.0,0.0,0.0029297326385411574,0.017480942003603048,0.75
individualized,counterfactual,-0.0006717171717171718,0.0,0.0,-0.00016666666666666666,0.5468787878787879,0.0,0.0,-0.0008383838383838384,0.5468787878787879,0.00029305988033139407,0.0,0.0,0.0002886751345948129,0.02035395643347173,0.0,0.0,0.0002887193116758878,0.02035395643347173,0.85
individualized,counterfactual,-0.0011666666666666668,0.0,0.0,0.00016750418760469013,0.5567772194304857,0.0,0.0,-0.0009991624790619766,0.5567772194304857,0.0012583057392117917,0.0,0.0,0.0002901257634118723,0.011509364728821117,0.0,0.0,0.0015012564566206105,0.011509364728821117,0.9
individualized,counterfactual,1.2562814070352503e-06,0.0,0.0,0.0,0.529536432160804,0.0,0.0,1.2562814070352503e-06,0.529536432160804,0.000708883431390534,0.0,0.0,0.0,0.021161680579680774,0.0,0.0,0.000708883431390534,0.021161680579680774,0.95
individualized,improvement,-0.08553792392957853,0.03283571663662203,1.155021151067802,0.00036205253949206335,,,,1.1026809963143374,0.0,0.007379717521746574,0.00808296827036153,0.04683450806727884,0.0008807131169410424,,,,0.03805166902237544,0.0,0.75
individualized,improvement,-0.1387017957183703,0.03485308512932822,1.2566751834707635,-0.0001841620626151013,,,,1.1526423108191064,0.0,0.032112928834279415,0.008686224542259799,0.033059561225805445,0.00031897804927603636,,,,0.07078395682763546,0.0,0.85
individualized,improvement,-0.18321304640640212,0.04934617868548439,1.430399383012298,-0.0005291005291005291,,,,1.29600341476228,0.0,0.010809484978414363,0.01604290514495143,0.03053029548801433,0.0009164289987136919,,,,0.025467388940407922,0.0,0.9
subpopulation,improvement,-0.0903895160757906,0.04209084307123523,1.1227322242028126,0.0037041988512576756,,,,1.0781377500495146,0.0,0.03537388547485656,0.010916449896317796,0.11728236913302026,0.0025232465265324646,,,,0.07142500178835895,0.0,0.75
subpopulation,improvement,-0.10227899154548015,0.023603271868298036,1.2279229688359603,0.0008274122150286958,,,,1.1500746613738069,0.0,0.017271414794746174,0.007140514473900407,0.05975792313426033,0.007367471799420745,,,,0.06505465909057416,0.0,0.85
subpopulation,improvement,-0.11023234934999641,0.051775838540544426,1.3705235940530056,0.002140343316813905,,,,1.3142074265603678,0.0,0.01667852400972954,0.01953089243719123,0.053172165544933404,0.0009444120803920495,,,,0.06142629073685037,0.0,0.9
subpopulation,improvement,-0.14849369152862416,0.03745029038995222,1.5375075100849713,-0.0034603610562755696,,,,1.4230037478900237,0.0,0.0241548793161313,0.0011328921622306169,0.004915942775393507,0.0010297180545988972,,,,0.017076326323908136,0.0,0.95
