,x1,x2,x3
1110,1.4,2.8,0.2
1540,0.0,0.9,2.3
1196,0.3,0.5,-0.0
1716,0.4,0.7,-0.1
1743,0.8,1.5,0.2
1310,0.5,1.0,-0.2
1552,0.3,0.5,0.0
1737,0.4,0.7,-0.1
1953,1.4,2.7,-0.0
1939,0.2,0.1,-0.0
1895,0.8,1.6,0.0
1039,0.0,0.1,0.9
1373,0.6,1.2,-0.2
1291,1.5,3.0,0.1
1131,1.2,2.3,-0.1
1070,0.9,1.7,-0.1
1529,1.1,2.1,-0.1
1233,-1.4,-0.7,-4.5
1805,0.4,0.8,0.0
1036,1.2,2.4,0.0
1057,0.9,1.8,-0.0
1176,0.3,0.5,-0.4
1397,0.4,0.8,0.0
1852,0.3,0.5,0.1
1642,1.2,2.4,0.1
1811,0.8,1.5,-0.0
1267,0.8,1.6,-0.1
1610,1.1,-2.1,0.4
1344,-1.4,-0.4,-0.0
1915,0.4,0.8,-0.0
1420,1.6,3.2,0.0
1476,-0.0,0.5,1.8
1495,1.4,2.7,-0.0
1533,0.9,1.8,-0.2
1162,0.9,1.7,0.1
1898,0.8,1.5,0.3
1199,0.2,0.4,-0.0
1771,0.5,1.0,-0.2
1179,1.1,0.1,5.0
1414,0.6,1.2,-0.2
1457,2.2,0.0,1.6
1635,0.5,1.0,-0.0
1668,1.0,1.9,0.0
1664,0.6,1.1,0.1
1055,1.8,-0.9,-0.9
1303,0.6,1.2,0.5
1364,0.9,1.8,0.1
1150,1.8,-0.8,-0.4
1342,0.1,0.2,-0.1
1991,1.2,2.4,-1.1
1603,0.4,0.8,0.0
1892,1.4,2.9,0.0
1213,0.1,0.1,0.9
1034,1.2,2.4,0.4
1605,0.2,0.3,0.3
1161,1.3,2.5,-0.2
1101,0.5,0.9,0.2
1412,0.2,0.4,-0.0
1269,0.1,0.3,1.5
1498,0.0,0.5,1.7
1886,1.1,2.2,0.1
1063,0.1,0.1,-0.1
1791,1.4,2.8,-0.1
1787,0.1,0.1,-0.1
1621,1.4,2.7,0.1
1561,1.1,2.1,-0.6
1438,1.0,2.1,2.2
1752,0.3,0.5,0.3
1458,0.9,1.8,-0.1
1077,1.5,2.9,-0.2
1539,1.7,3.3,-0.0
1986,0.2,0.4,-0.1
1789,0.2,0.4,-0.3
1835,0.9,1.7,-0.0
1383,2.0,-0.5,-0.0
1679,0.6,1.3,0.2
1872,0.9,1.7,-0.1
1421,0.2,0.0,1.3
1858,1.0,1.9,0.1
1519,1.3,2.5,-0.0
1352,0.6,0.0,2.1
1284,1.2,2.3,0.0
1308,0.4,0.8,-0.2
1574,1.3,2.5,0.5
1119,0.0,0.1,0.6
1821,2.7,5.4,3.9
1274,1.1,2.1,0.0
1996,0.3,0.6,0.2
1717,1.0,1.9,-0.1
1290,0.2,0.3,0.1
1103,1.0,2.0,0.2
1347,0.5,0.9,-0.0
1990,0.5,0.9,0.0
1711,1.0,1.9,-0.1
1707,1.2,2.4,0.3
1067,1.0,1.9,-0.0
1567,0.7,1.3,-0.0
1440,0.9,1.8,0.2
1823,0.3,0.6,0.6
1839,0.0,0.1,0.7
