,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,0.945,0.75,0.75,0.7460317611694336,0.0,0.746031746031746,0.746031746031746,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,2,,0.7502645254135132,1.2386243386243385
1,0.96,0.75,0.75,0.7916666865348816,0.0,0.7916666666666666,0.7916666666666666,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,1,,0.7916666865348816,1.2677083333333332
2,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,1,,0.9959999918937683,0.54
3,1.0,0.75,0.75,0.004999999888241291,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,1,,0.9970000386238098,0.5755
4,0.935,0.75,0.75,0.6524063944816589,0.0,0.6524064171122995,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,1,,0.6524063944816589,1.1641711229946523
5,1.0,0.75,0.75,0.019999999552965164,0.0,0.915,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,1,,0.9109999537467957,0.538
6,0.935,0.75,0.75,0.7219251394271851,0.0,0.7219251336898396,0.7219251336898396,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,0,,0.7219251394271851,1.1994652406417112
7,1.0,0.75,0.75,0.004999999888241291,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,0,,0.9970000386238098,0.5775
8,1.0,0.75,0.75,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,0,,0.9919999837875366,0.5265
9,0.965,0.75,0.75,0.575129508972168,0.0,0.5751295336787565,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,0,,0.575129508972168,1.0585492227979274
10,1.0,0.75,0.75,0.019999999552965164,0.0,0.92,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,0,,0.9180000424385071,0.555
