,pop_density,flu_shot,covid_shots,bmi_diff
15090,-0.0,0.0,2.0,0.0
14401,-0.0,0.0,2.0,-0.0
14621,-0.5,0.0,1.0,0.0
10501,-0.7,0.0,0.0,0.0
12019,-0.0,0.0,1.0,0.0
19746,0.0,0.0,1.0,0.0
15638,0.0,0.0,1.0,0.0
13184,0.0,0.0,1.0,-0.0
12082,0.0,0.0,2.0,-0.1
12309,-0.0,0.0,1.0,0.0
18300,-0.2,0.0,0.0,0.1
19803,0.1,0.0,0.0,0.0
11385,-0.4,0.0,1.0,-0.0
17578,-0.0,0.0,1.0,-0.0
15781,0.1,0.0,0.0,0.0
10130,0.0,0.0,0.0,-0.1
12342,0.0,0.0,1.0,0.0
15552,-0.4,0.0,0.0,0.0
19111,0.0,0.0,1.0,0.0
12124,-0.1,0.0,2.0,0.0
15399,-0.5,0.0,0.0,-0.0
15085,0.0,0.0,2.0,-0.0
10068,-0.0,0.0,2.0,0.0
16331,-0.0,0.0,0.0,-0.1
11920,0.0,0.0,1.0,0.0
16430,-0.5,0.0,0.0,-0.0
17298,0.0,0.0,1.0,0.0
13802,-0.8,0.0,0.0,0.0
13045,-1.5,0.0,0.0,0.1
10118,0.0,0.0,1.0,0.0
11846,-0.0,0.0,1.0,0.0
12506,-0.0,0.0,1.0,-0.0
11070,0.0,0.0,2.0,-0.0
19576,-0.4,0.0,1.0,0.0
18833,-0.0,0.0,1.0,0.0
13333,-0.0,0.0,1.0,0.0
11032,0.0,0.0,2.0,0.0
10176,-0.0,0.0,1.0,0.0
14516,-0.0,0.0,1.0,0.0
12733,0.0,0.0,2.0,0.0
17714,-0.4,0.0,1.0,-0.1
12774,0.0,0.0,1.0,0.0
11236,-0.8,0.0,1.0,0.0
14648,-0.1,0.0,1.0,0.0
11336,-0.1,0.0,0.0,0.0
19164,-0.2,0.0,0.0,-0.0
12703,-0.0,1.0,1.0,0.0
12131,-0.9,0.0,0.0,0.1
12792,-0.0,0.0,1.0,0.0
15601,-0.0,0.0,1.0,0.0
10580,-0.0,0.0,1.0,0.0
15553,0.0,0.0,2.0,0.0
11549,0.1,0.0,0.0,0.0
18125,0.0,0.0,1.0,0.0
13585,-0.7,0.0,1.0,0.0
19004,-0.1,0.0,1.0,0.0
19504,-0.0,0.0,1.0,0.0
14974,-0.0,0.0,2.0,0.0
19725,0.1,0.0,0.0,0.0
19942,-0.5,0.0,0.0,0.1
12798,-0.0,0.0,2.0,0.0
12924,0.0,0.0,1.0,0.0
13237,-0.0,0.0,0.0,0.1
12187,0.0,0.0,1.0,0.0
19457,-0.0,0.0,1.0,0.0
16222,-1.0,0.0,0.0,0.0
12045,0.0,0.0,1.0,-0.0
12573,-0.7,0.0,0.0,0.1
18260,-0.3,0.0,0.0,0.0
17893,-0.1,0.0,0.0,0.0
16955,-0.1,0.0,1.0,0.0
10404,-0.1,0.0,1.0,0.0
17337,-0.0,0.0,0.0,-0.0
16198,0.0,0.0,1.0,0.0
17313,-0.0,0.0,1.0,0.0
18594,0.0,0.0,1.0,0.1
16285,-0.0,0.0,1.0,0.0
10279,-0.6,0.0,0.0,-0.0
19592,0.1,0.0,1.0,0.0
12976,0.1,0.0,2.0,0.0
18054,0.0,0.0,0.0,-0.0
10755,0.0,0.0,1.0,0.0
19716,-0.1,0.0,2.0,0.0
17632,-0.7,0.0,0.0,0.0
10985,-0.0,0.0,1.0,0.0
13679,0.0,0.0,1.0,0.0
15265,0.0,0.0,2.0,0.0
16974,-0.0,0.0,1.0,0.0
19580,0.0,0.0,1.0,0.0
13531,0.0,0.0,0.0,0.1
14551,-0.9,0.0,0.0,0.0
11879,-0.1,0.0,1.0,-0.1
18664,-0.9,0.0,1.0,0.0
18360,0.1,0.0,0.0,0.0
14201,-0.3,0.0,2.0,0.0
19996,0.0,0.0,1.0,0.0
15297,0.1,0.0,0.0,0.0
13863,-0.5,0.0,1.0,0.0
16458,0.1,0.0,0.0,-0.0
10161,-0.0,0.0,1.0,-0.1
18980,-0.9,0.0,1.0,-0.1
10604,-0.0,0.0,2.0,0.0
11581,-0.0,0.0,1.0,0.0
17905,-0.0,0.0,1.0,0.0
15267,-0.6,0.0,1.0,-0.0
17769,0.1,0.0,0.0,-0.0
18338,-0.8,0.0,1.0,-0.1
13343,0.0,0.0,1.0,0.0
11000,-0.9,0.0,0.0,0.0
15758,-0.0,0.0,1.0,-0.0
