ix,goal_cost,intv_cost
897,1.0,7.1
628,1.0,0.8
846,1.0,2.5999999999999996
555,1.0,1.7
507,1.0,2.5
985,1.0,1.2
924,1.0,6.5
948,1.0,1.1
712,1.0,1.3
694,1.0,3.8
843,1.0,3.8
748,1.0,0.8
910,1.0,4.8
927,1.0,1.7999999999999998
911,1.0,5.6
870,1.0,1.7000000000000002
671,1.0,1.2
609,1.0,1.4
814,1.0,3.7
784,1.0,0.9
958,1.0,1.3
587,1.0,2.5
994,1.0,2.4
859,1.0,1.3
579,1.0,0.6
633,1.0,3.4000000000000004
977,1.0,1.0
830,1.0,0.5
520,1.0,3.6
788,1.0,4.9
954,1.0,2.2
901,1.0,0.4
591,1.0,0.9
803,1.0,3.8000000000000003
850,1.0,2.6
595,1.0,1.0
771,1.0,4.8999999999999995
899,1.0,4.0
625,1.0,0.4
923,1.0,0.8
809,1.0,9.0
881,1.0,0.6000000000000001
556,1.0,8.3
946,1.0,5.4
889,1.0,5.1
714,1.0,0.3
893,1.0,5.3
829,1.0,1.5999999999999999
541,1.0,2.3000000000000003
750,1.0,1.1
662,1.0,0.2
692,1.0,10.4
647,1.0,3.2
723,1.0,4.0
817,1.0,6.8
853,1.0,0.3
592,1.0,0.2
963,1.0,2.9000000000000004
837,1.0,0.3
907,1.0,2.0
827,1.0,2.3000000000000003
793,1.0,2.1
583,1.0,4.2
789,1.0,3.0999999999999996
982,1.0,0.4
729,1.0,0.2
787,1.0,5.699999999999999
886,1.0,0.6
782,1.0,1.1
543,1.0,0.5
988,1.0,5.3
645,1.0,1.1
752,1.0,0.2
568,1.0,0.8
674,1.0,3.8
945,1.0,2.0
813,1.0,5.1
743,1.0,1.0
681,1.0,1.2000000000000002
575,1.0,2.2
704,1.0,2.6
586,1.0,2.2
563,1.0,7.6
797,1.0,4.2
986,1.0,2.5999999999999996
836,1.0,1.4000000000000001
950,1.0,5.199999999999999
526,1.0,1.8
736,1.0,2.7
756,1.0,3.2
594,1.0,0.5
717,1.0,7.3
773,1.0,1.1
926,1.0,0.7
693,1.0,2.9
996,1.0,1.7
876,1.0,1.3
959,1.0,0.9
521,1.0,2.9000000000000004
792,1.0,2.3000000000000003
