ix,goal_cost,intv_cost
1914,1.0,1.7
1872,1.0,0.6000000000000001
1821,1.0,5.7
1675,1.0,1.0
1408,1.0,2.3000000000000003
1102,1.0,3.4
1824,1.0,2.0
1563,1.0,0.8
1484,1.0,1.6
1383,1.0,3.1
1030,1.0,2.2
1437,1.0,0.1
1745,1.0,0.6000000000000001
1097,1.0,4.0
1084,1.0,1.5
1711,1.0,0.7
1356,1.0,2.4
1519,1.0,1.7000000000000002
1955,1.0,0.5
1648,1.0,0.2
1723,1.0,2.9
1221,1.0,1.7
1317,1.0,0.7999999999999999
1379,1.0,3.7
1941,1.0,1.5999999999999999
1070,1.0,0.5
1216,1.0,0.8999999999999999
1859,1.0,0.30000000000000004
1060,1.0,2.1
1201,1.0,0.3
1258,1.0,1.5
1594,1.0,0.4
1892,1.0,1.8
1177,1.0,0.4
1898,1.0,0.1
1076,1.0,3.3000000000000003
1816,1.0,1.9
1761,1.0,0.3
1659,1.0,2.0
1146,1.0,1.1
1858,1.0,0.6
1245,1.0,2.7
1210,1.0,0.3
1505,1.0,9.2
1607,1.0,1.7
1707,1.0,1.4000000000000001
1010,1.0,1.6
1574,1.0,1.5
1971,1.0,3.2
1458,1.0,0.4
1938,1.0,0.6
1561,1.0,1.1
1162,1.0,0.4
1492,1.0,1.7
1953,1.0,2.3
1697,1.0,2.8000000000000003
1740,1.0,0.5
1276,1.0,0.8999999999999999
1469,1.0,2.2
1606,1.0,0.7
1621,1.0,1.7000000000000002
1568,1.0,0.7
1495,1.0,1.7
1629,1.0,1.0
1895,1.0,0.30000000000000004
1906,1.0,1.2000000000000002
1316,1.0,0.2
1363,1.0,1.5
1420,1.0,2.6
1658,1.0,2.7
1036,1.0,0.7
1267,1.0,0.2
1344,1.0,3.0
1985,1.0,2.8
1065,1.0,2.1999999999999997
1560,1.0,2.3
1077,1.0,1.8
1773,1.0,1.1
1075,1.0,1.4
1836,1.0,2.2
1302,1.0,5.1
1131,1.0,1.3
1529,1.0,0.9
1680,1.0,3.4000000000000004
1206,1.0,1.8
1189,1.0,1.4
1320,1.0,3.0
1769,1.0,1.8
1145,1.0,1.6
1401,1.0,1.4000000000000001
1254,1.0,0.7
1814,1.0,2.4
1988,1.0,0.5
1650,1.0,1.3
1329,1.0,0.9
1427,1.0,0.5
1044,1.0,1.5
1645,1.0,2.9
1234,1.0,2.0
1166,1.0,1.8
