,y
2000,1.0
2001,0.0
2002,0.0
2003,0.0
2004,1.0
2005,0.0
2006,1.0
2007,0.0
2008,1.0
2009,0.0
2010,1.0
2011,1.0
2012,1.0
2013,0.0
2014,0.0
2015,1.0
2016,1.0
2017,1.0
2018,1.0
2019,0.0
2020,1.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,1.0
2026,1.0
2027,0.0
2028,1.0
2029,1.0
2030,1.0
2031,0.0
2032,1.0
2033,1.0
2034,1.0
2035,1.0
2036,1.0
2037,1.0
2038,0.0
2039,1.0
2040,1.0
2041,0.0
2042,1.0
2043,0.0
2044,1.0
2045,0.0
2046,1.0
2047,0.0
2048,0.0
2049,1.0
2050,1.0
2051,0.0
2052,0.0
2053,1.0
2054,0.0
2055,1.0
2056,0.0
2057,1.0
2058,0.0
2059,1.0
2060,0.0
2061,0.0
2062,1.0
2063,1.0
2064,0.0
2065,1.0
2066,1.0
2067,0.0
2068,1.0
2069,0.0
2070,1.0
2071,0.0
2072,0.0
2073,1.0
2074,0.0
2075,1.0
2076,1.0
2077,1.0
2078,1.0
2079,1.0
2080,1.0
2081,1.0
2082,1.0
2083,1.0
2084,1.0
2085,1.0
2086,0.0
2087,0.0
2088,0.0
2089,1.0
2090,1.0
2091,0.0
2092,0.0
2093,1.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,1.0
2101,1.0
2102,0.0
2103,1.0
2104,1.0
2105,0.0
2106,0.0
2107,1.0
2108,0.0
2109,1.0
2110,0.0
2111,0.0
2112,1.0
2113,1.0
2114,0.0
2115,0.0
2116,1.0
2117,1.0
2118,1.0
2119,1.0
2120,0.0
2121,1.0
2122,0.0
2123,1.0
2124,1.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,1.0
2130,1.0
2131,1.0
2132,1.0
2133,0.0
2134,1.0
2135,1.0
2136,1.0
2137,0.0
2138,1.0
2139,1.0
2140,1.0
2141,0.0
2142,1.0
2143,0.0
2144,1.0
2145,1.0
2146,1.0
2147,1.0
2148,0.0
2149,1.0
2150,0.0
2151,0.0
2152,1.0
2153,1.0
2154,1.0
2155,0.0
