ix,goal_cost,intv_cost
1203,0.8029999732971191,1.5
1319,0.76,2.3
1298,0.78,3.1
1129,0.754,4.6
1177,0.754,2.5
1065,0.77,5.6
1148,0.765,3.2
1836,0.761,2.5
1463,0.76,1.3
1276,0.76,4.300000000000001
1914,0.761,1.6
1185,0.7730000019073486,4.5
1337,0.76,2.8
1661,0.771,7.0
1800,0.751,2.3
1622,0.771,3.9000000000000004
1708,0.768,2.4000000000000004
1646,0.751,6.8999999999999995
1580,0.86,1.8
1009,0.752,5.3
1730,0.769,3.7
1029,0.766,6.7
1537,0.772,1.3
1088,0.761,2.5
1170,0.756,5.8
1671,0.759,2.9000000000000004
1672,0.751,2.3
1657,0.76,2.6
1340,0.754,2.4000000000000004
1118,0.777,3.4
1223,0.8059999942779541,3.0
1982,0.754,2.6
1239,1.0,0.30000000000000004
1028,0.752,2.5
1360,0.752,6.3999999999999995
1985,0.763,2.4000000000000004
1430,0.76,2.8
1278,0.7739999890327454,4.0
1480,0.854,1.8
1006,0.845,2.1
1707,0.776,2.9
1209,0.778,3.0999999999999996
1603,0.767,4.199999999999999
1635,0.755,3.1
1886,0.774,1.1
1109,0.765,1.3
1284,0.756,6.5
1978,0.773,5.6
1087,0.773,0.7
1024,0.774,6.8
1353,0.766,4.199999999999999
1980,0.7509999871253967,3.0
1073,0.751,4.9
1110,0.762,5.0
1347,0.76,1.4
1367,0.755,1.4
1299,0.772,3.5999999999999996
1491,0.77,1.6
1275,0.764,2.3
1427,0.777,2.9
1763,0.755,3.4
1875,0.762,2.6
1357,0.754,2.0
1159,0.754,4.4
1620,0.769,4.9
1068,0.77,3.9000000000000004
1270,0.768,6.8999999999999995
1451,0.764,2.6
1027,0.784,2.0999999999999996
1052,1.0,0.1
1184,0.763,2.3
1528,0.77,4.199999999999999
1521,0.771,4.2
1841,0.764,2.7
1133,0.755,2.1999999999999997
1401,0.77,7.800000000000001
1455,0.767,4.5
1234,0.768,4.0
1477,0.778,1.1
1901,0.755,2.8
1832,0.754,2.2
1023,0.911,1.7
1872,0.762,1.4
1472,0.757,3.1
1304,0.83,1.2
1240,0.755,2.8
1921,0.752,4.6
1105,0.779,1.7
1290,0.762,3.8
1333,0.771,4.199999999999999
1844,0.828,1.2
1807,0.766,1.6
1026,0.773,7.199999999999999
1149,0.771,4.7
1373,0.755,2.9
1703,0.768,2.0999999999999996
1931,0.762,3.8
1003,0.782,1.7000000000000002
1246,0.769,4.0
1918,0.779,3.1
